Run Date,Action,Symbol,Quantity,Price ($),Fees ($),Amount ($)
01/15/2024,YOU BOUGHT,AAPL,40,185.20,0.00,-7408.00
01/15/2024,YOU BOUGHT,MSFT,15,388.50,0.00,-5827.50
02/12/2024,YOU BOUGHT,NVDA,20,615.00,0.00,-12300.00
02/20/2024,YOU BOUGHT,AMZN,25,168.30,0.00,-4207.50
03/05/2024,YOU BOUGHT,JNJ,30,157.10,0.00,-4713.00
03/15/2024,DIVIDEND RECEIVED,JNJ,0,0,0.00,37.20
03/18/2024,YOU BOUGHT,KO,60,59.80,0.00,-3588.00
04/01/2024,DIVIDEND RECEIVED,KO,0,0,0.00,27.60
04/10/2024,YOU BOUGHT,JPM,20,182.40,0.00,-3648.00
05/01/2024,DIVIDEND RECEIVED,JPM,0,0,0.00,22.00
05/15/2024,YOU BOUGHT,AAPL,20,189.90,0.00,-3798.00
06/01/2024,DIVIDEND RECEIVED,MSFT,0,0,0.00,11.25
06/15/2024,YOU BOUGHT,NVDA,10,940.00,0.00,-9400.00
06/20/2024,DIVIDEND RECEIVED,JNJ,0,0,0.00,37.20
07/01/2024,YOU BOUGHT,AMZN,10,185.60,0.00,-1856.00
07/10/2024,DIVIDEND RECEIVED,KO,0,0,0.00,33.00
07/22/2024,YOU SOLD,NVDA,5,1210.00,0.00,6050.00
08/01/2024,DIVIDEND RECEIVED,JPM,0,0,0.00,22.00
08/15/2024,YOU BOUGHT,JNJ,15,163.40,0.00,-2451.00
09/01/2024,DIVIDEND RECEIVED,MSFT,0,0,0.00,11.25
09/10/2024,YOU BOUGHT,KO,25,61.20,0.00,-1530.00
09/20/2024,DIVIDEND RECEIVED,JNJ,0,0,0.00,55.80
10/01/2024,YOU BOUGHT,AAPL,15,225.80,0.00,-3387.00
10/10/2024,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
11/01/2024,DIVIDEND RECEIVED,JPM,0,0,0.00,22.00
11/15/2024,YOU BOUGHT,MSFT,5,415.20,0.00,-2076.00
12/01/2024,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
12/15/2024,YOU BOUGHT,JPM,10,225.60,0.00,-2256.00
12/20/2024,DIVIDEND RECEIVED,JNJ,0,0,0.00,55.80
01/10/2025,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
01/20/2025,YOU BOUGHT,AMZN,10,220.10,0.00,-2201.00
02/01/2025,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
02/15/2025,YOU BOUGHT,NVDA,8,132.40,0.00,-1059.20
03/01/2025,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
03/20/2025,DIVIDEND RECEIVED,JNJ,0,0,0.00,55.80
04/10/2025,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
04/15/2025,YOU SOLD,AAPL,10,205.40,0.00,2054.00
05/01/2025,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
05/20/2025,YOU BOUGHT,JNJ,10,152.90,0.00,-1529.00
06/01/2025,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
06/20/2025,DIVIDEND RECEIVED,JNJ,0,0,0.00,74.40
07/10/2025,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
08/01/2025,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
09/01/2025,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
09/20/2025,DIVIDEND RECEIVED,JNJ,0,0,0.00,74.40
10/10/2025,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
11/01/2025,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
12/01/2025,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
12/20/2025,DIVIDEND RECEIVED,JNJ,0,0,0.00,74.40
01/10/2026,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
02/01/2026,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
03/01/2026,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
03/20/2026,DIVIDEND RECEIVED,JNJ,0,0,0.00,74.40
04/10/2026,DIVIDEND RECEIVED,KO,0,0,0.00,42.50
05/01/2026,DIVIDEND RECEIVED,JPM,0,0,0.00,33.00
06/01/2026,DIVIDEND RECEIVED,MSFT,0,0,0.00,16.50
